일련번호,나이,학력,성별,정신건강,전문직,개발공부기간,연차,국적,연봉,보유기술개수
DEV1,<35,Master,Man,No,Dev,15,6,Germany,77290,7
DEV2,<35,Undergraduate,Man,No,Dev,9,6,Canada,46135,13
DEV3,>35,Master,Man,No,Dev,26,18,Germany,77831,17
DEV4,>35,Undergraduate,Man,No,Dev,39,21,United Kingdom of Great Britain and Northern Ireland,68507,3
DEV5,<35,Master,Man,No,Dev,19,10,Germany,60535,5
DEV6,<35,Undergraduate,Man,No,Dev,8,0,United States of America,103000,7
DEV7,>35,Master,Man,Yes,Dev,34,12,United Kingdom of Great Britain and Northern Ireland,64630,14
DEV8,>35,Other,Man,Yes,Dev,25,10,Canada,71850,6
DEV9,>35,Undergraduate,Man,No,Dev,24,18,United Kingdom of Great Britain and Northern Ireland,129266,12
DEV10,>35,Undergraduate,Man,No,Dev,25,15,United States of America,105000,6
DEV11,>35,PhD,Man,No,Dev,10,8,Canada,151263,8
DEV12,>35,Other,Man,No,Dev,31,17,Canada,95295,10
DEV13,<35,PhD,Man,No,Dev,18,1,United States of America,100000,8
DEV14,>35,Undergraduate,Man,No,Dev,26,14,United Kingdom of Great Britain and Northern Ireland,61398,10
DEV15,<35,Other,Man,Yes,Dev,18,8,Germany,24648,18
DEV16,<35,Undergraduate,Man,No,Dev,10,3,United Kingdom of Great Britain and Northern Ireland,64630,8
DEV17,<35,Other,Man,No,Dev,6,1,Germany,29508,33
DEV18,<35,Undergraduate,Man,No,Dev,12,6,United States of America,140000,14
DEV19,<35,Undergraduate,Man,No,Dev,7,1,United States of America,54000,10
DEV20,>35,Master,Man,Yes,Dev,27,16,United States of America,200000,19
DEV21,<35,Undergraduate,Man,Yes,Dev,1,3,United Kingdom of Great Britain and Northern Ireland,38778,20
DEV22,>35,Undergraduate,Man,No,Dev,38,34,United States of America,200000,5
DEV23,<35,Master,Man,No,Dev,27,11,Germany,97288,22
DEV24,>35,Undergraduate,Man,No,Dev,31,25,United Kingdom of Great Britain and Northern Ireland,70047,11
DEV25,<35,Undergraduate,Man,Yes,NotDev,15,4,United States of America,98500,23
DEV26,<35,Undergraduate,Man,No,Dev,20,7,India,2340,19
DEV27,>35,Undergraduate,Man,No,Dev,41,24,United States of America,115000,11
DEV28,>35,PhD,Man,No,Dev,42,22,United Kingdom of Great Britain and Northern Ireland,71093,1
DEV29,>35,Master,Man,No,NotDev,3,3,Canada,98321,5
DEV30,>35,Other,Man,No,Dev,35,25,United Kingdom of Great Britain and Northern Ireland,60752,4
DEV31,>35,Master,Man,No,Dev,20,13,United Kingdom of Great Britain and Northern Ireland,84019,15
DEV32,<35,Master,Man,No,Dev,10,9,United States of America,70000,15
DEV33,<35,Undergraduate,Man,Yes,Dev,10,5,United States of America,90000,12
DEV34,<35,Undergraduate,Man,No,Dev,10,1,India,1512,32
DEV35,<35,Master,Woman,No,NotDev,9,2,United States of America,193000,5
DEV36,>35,Undergraduate,Man,No,Dev,24,14,United Kingdom of Great Britain and Northern Ireland,77556,15
DEV37,>35,Undergraduate,Man,No,Dev,21,14,United Kingdom of Great Britain and Northern Ireland,103408,19
DEV38,<35,Undergraduate,Man,No,Dev,10,8,Germany,84316,29
DEV39,<35,Undergraduate,Man,No,Dev,14,7,United Kingdom of Great Britain and Northern Ireland,103408,4
DEV40,>35,Undergraduate,Man,Yes,Dev,30,22,United States of America,165000,29
DEV41,<35,Other,Man,Yes,Dev,10,5,Germany,51888,14
DEV42,<35,Undergraduate,Man,No,Dev,6,3,Germany,42158,11
DEV43,<35,Undergraduate,NonBinary,Yes,Dev,18,7,Germany,32424,2
DEV44,<35,Undergraduate,Man,No,NotDev,2,2,United States of America,60000,12
DEV45,>35,PhD,Man,No,Dev,13,8,Germany,74588,3
DEV46,<35,Undergraduate,Man,No,Dev,12,3,United Kingdom of Great Britain and Northern Ireland,50153,11
DEV47,<35,Master,Man,No,Dev,15,11,India,30716,13
DEV48,<35,Master,Man,No,NotDev,6,2,Germany,54049,5
DEV49,<35,Other,Man,No,Dev,4,2,United Kingdom of Great Britain and Northern Ireland,19389,10
DEV50,>35,Undergraduate,Man,No,Dev,18,13,United States of America,160000,6
DEV51,>35,Undergraduate,Man,No,Dev,37,31,United States of America,185000,17
DEV52,<35,Undergraduate,Man,No,NotDev,20,9,United States of America,107972,7
DEV53,<35,Other,Man,Yes,Dev,8,6,United Kingdom of Great Britain and Northern Ireland,48472,12
DEV54,>35,Undergraduate,Man,Yes,Dev,24,16,United States of America,120000,13
DEV55,<35,PhD,Man,No,NotDev,10,4,United Kingdom of Great Britain and Northern Ireland,51704,5
DEV56,>35,Undergraduate,Man,No,Dev,25,15,Germany,70264,10
DEV57,<35,Master,Man,No,Dev,22,13,United States of America,115000,10
DEV58,<35,Undergraduate,Woman,Yes,Dev,21,12,United States of America,144000,22
DEV59,>35,Master,Man,No,Dev,31,21,Germany,70264,5
DEV60,>35,Undergraduate,Man,No,Dev,44,34,Canada,181515,7
DEV61,>35,NoHigherEd,Man,No,Dev,22,22,United States of America,105000,6
DEV62,>35,Master,Man,No,Dev,20,5,Germany,56211,13
DEV63,<35,Master,Man,No,NotDev,10,7,United Kingdom of Great Britain and Northern Ireland,64630,7
DEV64,<35,Master,Man,No,Dev,14,10,United States of America,110000,6
DEV65,>35,Undergraduate,Man,Yes,Dev,25,15,United States of America,120000,21
DEV66,<35,NoHigherEd,Man,Yes,Dev,11,6,Germany,48644,20
DEV67,<35,Undergraduate,Man,No,Dev,18,4,Canada,75631,3
DEV68,>35,Other,Man,No,NotDev,41,39,United States of America,70000,6
DEV69,<35,Master,Man,No,NotDev,14,9,Germany,58373,9
DEV70,<35,Undergraduate,Man,No,Dev,4,2,India,5585,13
DEV71,<35,Other,Woman,Yes,Dev,15,4,United States of America,58000,8
DEV72,<35,Undergraduate,Man,No,Dev,18,6,Germany,61616,15
DEV73,<35,Master,Man,Yes,Dev,11,6,Canada,68068,10
DEV74,<35,Undergraduate,Man,Yes,Dev,12,5,India,217800,17
DEV75,<35,NoHigherEd,Man,Yes,Dev,18,1,United States of America,40000,6
DEV76,<35,Undergraduate,Man,No,Dev,15,8,Canada,71850,12
DEV77,>35,Undergraduate,Man,No,Dev,21,14,Canada,66934,4
DEV78,<35,NoHigherEd,NonBinary,Yes,Dev,8,7,Germany,58373,17
DEV79,>35,Master,Man,No,Dev,25,24,United Kingdom of Great Britain and Northern Ireland,55582,7
DEV80,>35,Undergraduate,Man,No,Dev,42,27,United Kingdom of Great Britain and Northern Ireland,71093,2
DEV81,>35,Other,Man,No,Dev,30,21,United Kingdom of Great Britain and Northern Ireland,60752,14
DEV82,>35,Undergraduate,Man,No,Dev,26,16,Japan,179858,16
DEV83,>35,PhD,Man,No,NotDev,20,6,United States of America,90000,8
DEV84,<35,Undergraduate,Man,No,Dev,12,3,United States of America,67000,28
DEV85,<35,Undergraduate,Man,No,Dev,12,4,India,21676,8
DEV86,>35,Other,Man,Yes,Dev,25,16,United States of America,195000,11
DEV87,>35,PhD,Man,No,Dev,35,23,United Kingdom of Great Britain and Northern Ireland,155111,9
DEV88,<35,Undergraduate,Man,Yes,Dev,6,2,Canada,90000,14
DEV89,<35,Master,Man,No,NotDev,20,12,United States of America,29000,2
DEV90,<35,Undergraduate,Man,No,Dev,10,6,United States of America,170000,24
DEV91,<35,Undergraduate,Man,No,Dev,9,4,United States of America,70000,13
DEV92,<35,NoHigherEd,Man,No,Dev,8,2,United States of America,40000,9
DEV93,<35,Master,Man,No,Dev,7,6,United Kingdom of Great Britain and Northern Ireland,54224,8
DEV94,>35,Undergraduate,Man,Yes,NotDev,22,4,United States of America,85000,5
DEV95,<35,Undergraduate,Man,No,Dev,6,1,Germany,64859,17
DEV96,<35,Other,Man,Yes,Dev,12,5,Canada,31750,18
DEV97,<35,Master,Man,No,Dev,6,2,United States of America,100000,17
DEV98,<35,Undergraduate,Man,No,Dev,5,3,United States of America,92000,14
DEV99,<35,Master,Man,No,Dev,15,12,United States of America,135000,7
DEV100,<35,Undergraduate,Man,Yes,Dev,9,5,United Kingdom of Great Britain and Northern Ireland,71093,24
DEV101,<35,Undergraduate,Man,No,Dev,8,4,United States of America,150000,11
DEV102,>35,Undergraduate,Man,Yes,Dev,21,19,United States of America,65000,13
DEV103,>35,NoHigherEd,Man,No,Dev,18,17,Germany,25944,11
DEV104,<35,Undergraduate,Man,Yes,Dev,10,3,Germany,59454,8
DEV105,>35,Undergraduate,Man,Yes,Dev,28,20,Germany,19452,17
DEV106,>35,PhD,Man,No,Dev,39,35,United States of America,110000,5
DEV107,<35,Undergraduate,Man,No,Dev,11,3,Germany,31128,11
DEV108,>35,Master,Man,Yes,Dev,40,21,United States of America,190000,9
DEV109,>35,PhD,Man,No,Dev,30,10,United Kingdom of Great Britain and Northern Ireland,49765,3
DEV110,<35,Undergraduate,Man,No,Dev,14,8,United States of America,57765,7
DEV111,<35,Undergraduate,Man,No,Dev,6,3,United States of America,40000,6
DEV112,<35,NoHigherEd,Man,No,Dev,6,2,United States of America,37440,12
DEV113,<35,Undergraduate,Man,No,Dev,3,1,India,11724,16
DEV114,<35,Master,Man,No,Dev,5,4,United States of America,133000,11
DEV115,>35,Other,Man,No,Dev,23,13,Germany,69183,8
DEV116,<35,Undergraduate,Man,No,Dev,10,8,India,29320,23
DEV117,<35,Master,NonBinary,No,NotDev,12,5,United States of America,150000,10
DEV118,>35,Other,Woman,No,Dev,20,17,United States of America,78750,6
DEV119,<35,Undergraduate,Man,No,Dev,3,0,India,6981,5
DEV120,>35,Undergraduate,Man,No,NotDev,25,19,United States of America,125000,13
DEV121,<35,Undergraduate,Man,No,Dev,17,10,United Kingdom of Great Britain and Northern Ireland,63854,5
DEV122,>35,Other,Man,Yes,Dev,14,10,India,123984,17
DEV123,<35,Other,Man,No,Dev,4,0,India,2508,20
DEV124,<35,Other,Man,No,Dev,8,5,United States of America,72000,12
DEV125,<35,Undergraduate,Man,Yes,Dev,4,0,India,8376,12
DEV126,<35,Undergraduate,Man,Yes,Dev,11,7,Germany,86478,19
DEV127,<35,Undergraduate,Man,No,Dev,16,7,India,134028,2
DEV128,>35,Undergraduate,Man,No,Dev,40,25,United States of America,98000,7
DEV129,>35,NoHigherEd,Man,No,Dev,21,18,Germany,54049,18
DEV130,<35,Undergraduate,Man,No,Dev,11,2,India,25128,25
DEV131,<35,Other,Man,No,Dev,13,4,Germany,36324,16
DEV132,<35,Undergraduate,Man,No,Dev,3,1,United States of America,82000,11
DEV133,<35,PhD,Man,No,Dev,12,10,United States of America,105000,3
DEV134,<35,Other,Man,No,Dev,4,2,United Kingdom of Great Britain and Northern Ireland,28437,12
DEV135,>35,Undergraduate,Man,No,NotDev,25,5,Germany,101612,11
DEV136,<35,Undergraduate,Man,No,Dev,15,9,United States of America,135000,14
DEV137,<35,Undergraduate,Man,No,Dev,6,7,India,31332,6
DEV138,<35,Undergraduate,Man,No,Dev,15,8,United States of America,200000,8
DEV139,<35,Master,Man,No,Dev,11,3,India,40489,16
DEV140,<35,Master,Man,No,Dev,20,10,United States of America,58000,17
DEV141,<35,Master,Man,Yes,Dev,7,3,United Kingdom of Great Britain and Northern Ireland,48472,4
DEV142,<35,NoHigherEd,Man,No,Dev,8,0,United Kingdom of Great Britain and Northern Ireland,19389,15
DEV143,<35,Undergraduate,Man,No,Dev,11,7,Germany,43239,7
DEV144,>35,Undergraduate,Man,Yes,Dev,27,11,United States of America,180000,5
DEV145,<35,PhD,Man,No,NotDev,10,7,Germany,51888,4
DEV146,<35,Undergraduate,Man,No,Dev,3,2,United States of America,70000,7
DEV147,>35,Undergraduate,Man,No,Dev,30,20,United States of America,130000,12
DEV148,>35,Undergraduate,Man,No,NotDev,9,9,United States of America,96000,3
DEV149,>35,NoHigherEd,Man,No,Dev,41,14,Germany,56208,20
DEV150,>35,Undergraduate,Man,Yes,Dev,45,33,United States of America,175000,29
DEV151,>35,Other,Woman,No,Dev,35,25,Canada,68068,11
DEV152,>35,Other,Man,No,NotDev,50,50,United States of America,25000,6
DEV153,>35,Other,Man,Yes,NotDev,25,4,United States of America,55702,3
DEV154,<35,Undergraduate,Man,No,Dev,13,4,United States of America,72000,9
DEV155,>35,Other,Man,No,Dev,33,20,United States of America,110000,19
DEV156,<35,Undergraduate,Man,Yes,Dev,18,13,United States of America,155000,9
DEV157,<35,Other,Man,No,Dev,18,14,Germany,75885,21
DEV158,<35,Master,NonBinary,No,Dev,12,7,United States of America,125000,6
DEV159,>35,Undergraduate,Man,No,Dev,43,35,United States of America,70000,11
DEV160,<35,Other,Man,Yes,Dev,10,4,United States of America,105000,3
DEV161,>35,Master,Man,No,Dev,20,10,Germany,77832,17
DEV162,<35,Undergraduate,Man,Yes,Dev,2,1,India,5868,20
DEV163,>35,Other,Man,No,Dev,35,25,United States of America,156000,29
DEV164,<35,Undergraduate,Man,No,NotDev,12,5,Canada,77900,5
DEV165,<35,Other,Man,No,Dev,12,6,United Kingdom of Great Britain and Northern Ireland,51704,4
DEV166,<35,Master,Man,No,Dev,10,2,United States of America,45000,7
DEV167,<35,Undergraduate,Man,No,Dev,10,3,India,9773,14
DEV168,<35,Master,Man,No,Dev,13,4,Germany,45401,10
DEV169,>35,Undergraduate,Man,Yes,Dev,20,15,United States of America,120000,17
DEV170,<35,Undergraduate,Man,No,Dev,12,8,United States of America,66500,12
DEV171,<35,Master,Man,No,Dev,6,6,India,8040,10
DEV172,<35,Undergraduate,Man,No,Dev,15,7,United States of America,125000,21
DEV173,<35,Undergraduate,Man,Yes,Dev,16,10,India,29320,10
DEV174,>35,Master,Man,No,Dev,28,22,United Kingdom of Great Britain and Northern Ireland,116333,11
DEV175,<35,Other,Man,Yes,Dev,17,12,Germany,54049,13
DEV176,<35,PhD,Man,No,Dev,4,1,United Kingdom of Great Britain and Northern Ireland,71093,1
DEV177,>35,Undergraduate,Man,No,Dev,27,25,United States of America,160000,10
DEV178,<35,Undergraduate,Man,No,Dev,9,1,Canada,49160,14
DEV179,<35,Undergraduate,Man,No,Dev,8,3,United States of America,64000,18
DEV180,>35,Undergraduate,Man,No,Dev,30,8,United Kingdom of Great Britain and Northern Ireland,50411,4
DEV181,<35,Master,Man,No,NotDev,9,4,Germany,54049,11
DEV182,<35,PhD,Man,No,Dev,14,7,United States of America,135000,5
DEV183,<35,Master,Man,No,Dev,3,2,United Kingdom of Great Britain and Northern Ireland,74970,10
DEV184,<35,Undergraduate,Man,Yes,Dev,8,3,Canada,52942,11
DEV185,<35,Undergraduate,Man,No,Dev,7,3,United States of America,85000,19
DEV186,<35,Undergraduate,Man,Yes,Dev,16,15,United States of America,120000,10
DEV187,<35,Master,Man,No,Dev,13,11,United States of America,155000,15
DEV188,<35,Undergraduate,Man,No,Dev,9,2,Germany,54049,19
DEV189,<35,NoHigherEd,Man,No,Dev,15,7,Germany,54480,21
DEV190,<35,Other,Man,No,Dev,15,13,United States of America,114000,8
DEV191,>35,Undergraduate,Man,No,Dev,12,11,Germany,51887,11
DEV192,<35,NoHigherEd,Man,No,Dev,15,10,Germany,77831,10
DEV193,<35,Master,Man,No,NotDev,10,2,India,10728,20
DEV194,<35,Undergraduate,Man,No,Dev,15,5,United States of America,115000,17
DEV195,<35,Undergraduate,Man,Yes,Dev,17,5,Canada,55211,22
DEV196,>35,Undergraduate,Man,No,Dev,26,23,United Kingdom of Great Britain and Northern Ireland,206815,14
DEV197,>35,Undergraduate,Man,No,Dev,14,10,United States of America,200000,33
DEV198,>35,Undergraduate,Man,No,Dev,23,10,United States of America,142000,24
DEV199,<35,Other,Man,Yes,Dev,10,8,United States of America,125000,17
DEV200,<35,Master,Man,No,Dev,9,3,United Kingdom of Great Britain and Northern Ireland,84019,4
DEV201,<35,Master,Man,No,Dev,10,5,Germany,31128,10
DEV202,<35,Master,Man,No,Dev,6,0,Germany,51888,6
DEV203,<35,Undergraduate,Man,Yes,Dev,5,5,India,16475,4
DEV204,<35,Undergraduate,Man,No,Dev,6,2,Germany,41040,9
DEV205,>35,Master,Man,No,Dev,30,12,United States of America,175000,15
DEV206,<35,Master,Man,No,Dev,15,7,India,18848,21
DEV207,<35,Master,Man,No,Dev,14,6,Germany,84312,11
DEV208,<35,Master,Man,Yes,Dev,12,7,Germany,81074,11
DEV209,>35,Master,Man,No,Dev,15,10,Germany,68102,4
DEV210,>35,PhD,Man,Yes,NotDev,35,19,United States of America,110000,2
DEV211,>35,Undergraduate,Man,No,Dev,22,12,United States of America,126000,3
DEV212,<35,Undergraduate,Man,No,Dev,10,1,India,5585,2
DEV213,<35,Undergraduate,Man,No,Dev,9,7,India,21641,15
DEV214,<35,Other,Man,No,Dev,5,4,India,27900,11
DEV215,>35,Other,Man,Yes,NotDev,31,18,United States of America,175000,30
DEV216,<35,Undergraduate,Man,No,Dev,5,1,India,8042,18
DEV217,<35,Undergraduate,Man,Yes,Dev,20,9,United States of America,190000,31
DEV218,>35,Undergraduate,Man,No,Dev,42,37,United States of America,220000,12
DEV219,<35,Master,Man,No,Dev,10,6,India,12564,6
DEV220,>35,Master,Man,No,Dev,30,30,United States of America,153000,22
DEV221,<35,NoHigherEd,Man,Yes,Dev,10,4,United States of America,75000,8
DEV222,<35,Undergraduate,Man,No,Dev,6,2,India,11169,5
DEV223,<35,Undergraduate,Man,No,Dev,10,4,India,30716,15
DEV224,>35,Undergraduate,Man,No,Dev,35,25,Germany,81074,6
DEV225,>35,Other,Woman,No,Dev,30,20,United States of America,215000,16
DEV226,<35,Other,Man,No,Dev,20,10,India,13962,12
DEV227,<35,Master,Man,No,Dev,10,6,India,64224,13
DEV228,>35,Master,Man,Yes,Dev,20,15,Canada,75631,10
DEV229,>35,Undergraduate,Man,No,Dev,12,10,Canada,68068,26
DEV230,>35,Other,Man,No,Dev,15,10,United States of America,200000,21
DEV231,>35,Undergraduate,Woman,Yes,Dev,32,15,United Kingdom of Great Britain and Northern Ireland,65922,15
DEV232,>35,Undergraduate,Man,Yes,Dev,23,15,United States of America,203000,8
DEV233,>35,Other,Man,No,NotDev,38,20,Germany,79993,12
DEV234,<35,Undergraduate,Man,No,NotDev,23,5,United States of America,100000,15
DEV235,<35,Undergraduate,Man,No,Dev,10,5,United States of America,80325,13
